NSW - LGA Schemes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Local Government Area - Details,,Policies,,,,,,,,,,,,,,
LGA,Council,Policy Type,Policy Name,Status (Current/Historical),Description,Target Group,Incentive Type,"Incentive Amount 
(if applicable)",Eligibility Criteria,Implementation Date,"End Date 
(if applicable)",Administering Body,Key Outcomes/ Impact (if available),Notes/Additional Information,Contact information,Citation
Sydney,City of Sydney Council,Energy Audits and Ratings,Green Building Grants,Current,"Supports building owners in the residential apartment building and accommodation sector to undertake environmental ratings, certifications, audits and assessments for existing buildings to be resource efficient and achieve net zero emissions by 2035.

Funding can support:
- NABERS, Green Star Performance or EarthCheck assessment and/or certification
- residential energy/water/waste assessments
- renewables/electrification feasibility assessments
- net zero action plans.
","Building owners, owners corporations",Grant,"(From historical information) between about $2,500 to $15,000 maximum

For perspective, the total budget for 2023/24 was $400,000. Total of 24 eligible applications for the allications.
(https://meetings.cityofsydney.nsw.gov.au/documents/s74064/Grants%20and%20Sponsorship%20-%20Environmental%20Grants.pdf) ","Assessment criteria:
- evidence of the need for the project and proposed outcomes
- capacity and experience of the applicant to deliver the project
- demonstrated connection and benefit to the local area and community
- evidence of diversity, inclusion and equity in the planning and delivery of the project
- how the project delivers against the funding priorities.

Questions asked in application during assessment stage:
- Why is there a need for the project and what are the proposed outcomes?
- What is your experience in delivering projects?
- How does the project rate against the funding priorities?
",1 July 2025,30 June 2026,City of Sydney,N/A,"Next applications open and close in early 2025; recommendations to Council in June 2025

The program was implemented in previous years (as early as 2023/24). List of past grant recipients for the green building grant: https://www.cityofsydney.nsw.gov.au/research-reports/approved-grants",cityconcierge@cityofsydney.nsw.gov.au,https://www.cityofsydney.nsw.gov.au/environmental-support-funding/green-building-grants
Sydney,City of Sydney Council,Education and Awareness Programs,Smart Green Apartments,Current,"Free expert advice to reduce energy and water use in apartment buildings.

Each participating strata plan receives:
- energy and water assessments – NABERS rating
- an energy action plan with recommended improvements
- a presentation on NABERS ratings and energy action plans
- tailored advice on improving waste management and recycling
- a WaterFix program by Sydney Water, if the building meets certain criteria
- access to webinars, resources and opportunities to connect with people in other buildings through our leadership network.",Apartments,Free advice,Free,"Selected by application. Buildings will be chosen based on:
- capacity and commitment to improve environmental performance and resilience
- potential for making big savings – we’ll consider issues like the size and complexity of your building, and the amount of energy and water consumed.",2016,Unclear,City of Sydney Council,"- The Council has worked with 270 buildings, including 16,407 apartments.
- On average, the Council has identified that buildings can reduce their energy use by 30%.
- Since 2016, participants have saved $9,664,904 in energy and water bills.",N/A,cityconcierge@cityofsydney.nsw.gov.au,"https://www.cityofsydney.nsw.gov.au/environmental-support-funding/smart-green-apartments

https://www.cityofsydney.nsw.gov.au/research-reports/smart-green-apartments-annual-report"
Sydney,City of Sydney Council,Building Energy Standards,Passed motion for new homes and businesses to be all-electric.,Current,"On 23 August 2023, the Council passed a motion to ban gas in new homes and businesses in the LGA. 

This will involve inserting new clauses into the council’s planning rules to require new homes and businesses to include electric appliances like stoves, cooktops, heaters and hot water units, instead of gas ones.",(New) Houses; businesses,N/A,N/A,N/A,23 August 2023,N/A,City of Sydney,"Research by 350 Australia shows that the ban could cut carbon emissions across the LGA by 1.7 million tonnes over the 40 year life of a dwelling.

https://www.governmentnews.com.au/councils-throw-down-gauntlet-to-state-government-over-gas-ban/",N/A,cityconcierge@cityofsydney.nsw.gov.au,"https://www.theguardian.com/australia-news/2023/aug/25/sydney-city-council-gas-ban-new-buildings-proposal

https://thepropertytribune.com.au/business-industry/the-city-of-sydney-votes-to-ban-gas-in-new-homes-and-businesses/

https://www.governmentnews.com.au/councils-throw-down-gauntlet-to-state-government-over-gas-ban/"
Waverley,Waverley Council,Building Energy Standards,Development Control Plan (Waverley DCP 2022),Current,"New and revised provisions in respect of:
- Thermal Safety - requiring high-performance glazing for windows and skylights, ceiling fans in all habitable rooms, vegetation for cooling and light-coloured roofs
- Indoor Air Quality - preventing the installation of gas stoves, gas ovens and gas space heating in residential development. This will also enable these developments to reach net zero greenhouse gas emissions.
- Uptake for Electric Vehicles - requiring certain new developments to include EV charging and or supporting power infrastructure
- Transition to Low Emissions living - requiring all homes to include designs for future all electric capacity and power by renewable energy.
- Sustainability performance of office buildings, shops, hotels, aged care and retirement living - requiring improved energy and water ratings and commitment agreements under the National Built Environment Rating Scheme (NABERS)
- Cooling and shading of neighbourhoods by strengthening protection for existing tree canopy on private land.
- Running costs through ensuring energy efficiency measures that reduce energy demand.",Residential development and new proposals,N/A,N/A,N/A,7 December 2022,N/A,Waverley Council,N/A,N/A,"media@waverley.nsw.gov.au

0416 075 532",https://www.waverley.nsw.gov.au/top/news_and_media/council_news/all/2023/development_control_plans_in_the_news
Waverley,Waverley Council,Home Electrification,Gas ban,Current,"On 7 December 2022, Waverley Council implemented changes to its Development Control Plan to require new residential buildings be fitted with all-electric indoor appliances (cooktops, ovens and internal space heaters) to improve indoor air quality and local health outcomes.",Houses; apartments,N/A,N/A,N/A,7 December 2022,N/A,Waverley Council,N/A,N/A,environment@waverley.nsw.gov.au,https://350.org.au/electrify-your-council-council-tracker/
Waverley,Waverley Council,Energy Audits and Ratings,Building Futures strata program,Current,"Building Futures is a free Council program to help large buildings (25+ apartments or commercial lots) to save money on their energy and water bills and improve environmental performance. Participating buildings work towards reducing common area energy use by 20%, reducing operating costs and greenhouse emissions.

Successful applicants receive:
- Energy assessments of common areas, costed recommendations and implementation support
- Up to $1000 matched funding towards one or more implemented efficiency upgrades
- A rooftop solar assessment
- Assessment of water consumption through Sydney Water’s WaterFix program
- Access to Waverley Council’s apartment recycling resources",Apartments,Various,Free,"To be eligible for Building Futures, buildings must be:
- Strata titled or deposited plan (residential or non-residential)
- 25+ apartments or commercial lots
- Located in the Waverley Local Government Area",1 August 2024,30 June 2025,Waverley Council,N/A,N/A,environment@waverley.nsw.gov.au,https://www.waverley.nsw.gov.au/environment/climate_resilience_and_reducing_emissions/building_futures_strata_program
Waverley,Waverley Council,Financial Incentives,Sustainability Rebates for Apartments (trial),Current,"As part of a 12-month trial, apartment buildings in Waverley can receive up to $5,000 total in rebates for undertaking:
- common area energy assessments (including energy audit, electric vehicle feasibility, solar feasibility and NABERS for Apartment Buildings ratings): 50% up to $1,000  
- installing rooftop solar: 20% rebate up to $4,000
- electrifying centralised hot water systems: 20% rebate up to $4,000 
- electrifying swimming pool heating systems: 20% rebate up to $1,000 for pool or spa gas to electric",Apartments,Rebate,"Maximum $5,000",Must be apartment buildings in the Waverley LGA,1 July 2023,31 December 2024,Waverley Council,N/A,N/A,environment@waverley.nsw.gov.au,https://rebately.co/waverley/
Waverley,Waverley Council,Solar and Battery Systems,Strata Consultations - Rooftop Solar,Historical,Free 30 minute online consultation with an independent rooftop solar expert.,Apartments,Advice,Free,"Applicants are required to submit a form which will require a copy of the strata electricity bill and photos of the electricity meter. Consultations require at least two strata committee members and/or building managers.
",Applicants closed 30 June 2023,Unclear,Woollahra Muncipal Council,N/A,"Available in Randwick, Waverley and Woollahra.",9391 7000,https://airtable.com/appqnFbSWZRn8dwLL/shrTNP7oCkRWLkqJt
Woollahra,Woollahra Municipal Council,Solar and Battery Systems,Strata Consultations - Rooftop Solar,Historical,Free 30 minute online consultation with an independent rooftop solar expert.,Apartments,Advice,Free,"Applicants are required to submit a form which will require a copy of the strata electricity bill and photos of the electricity meter. Consultations require at least two strata committee members and/or building managers.
",Applicants closed 30 June 2023,Unclear,Woollahra Muncipal Council,N/A,"Available in Randwick, Waverley and Woollahra.",9391 7000,https://airtable.com/appqnFbSWZRn8dwLL/shrTNP7oCkRWLkqJt
Randwick,Randwick City Council,Solar and Battery Systems,Strata Consultations - Rooftop Solar,Historical,Free 30 minute online consultation with an independent rooftop solar expert.,Apartments,Advice,Free,"Applicants are required to submit a form which will require a copy of the strata electricity bill and photos of the electricity meter. Consultations require at least two strata committee members and/or building managers.
",Applicants closed 30 June 2023,Unclear,Woollahra Muncipal Council,N/A,"Available in Randwick, Waverley and Woollahra.",9391 7000,https://airtable.com/appqnFbSWZRn8dwLL/shrTNP7oCkRWLkqJt
